date,acwi
2010-02,55657.70858170363
2010-03,59472.008811095824
2010-04,59014.88671686213
2010-05,56410.980334261265
2010-06,52837.97282092407
2010-07,54982.307205701196
2010-08,53879.15882421769
2010-09,57202.3326669118
2010-10,58974.52609245161
2010-11,59307.66956995928
2010-12,63641.82170162189
2011-01,63107.7253667977
2011-02,63699.36090746616
2011-03,64236.932983301325
2011-04,64541.19200307239
2011-05,63862.515241394976
2011-06,64774.110774798166
2011-07,62620.33815302785
2011-08,58012.30807106356
2011-09,55038.80484904266
2011-10,59220.02367251672
2011-11,58785.78242965866
2011-12,59401.96462311818
2012-01,61726.844719062174
2012-02,64245.25358256296
2012-03,64353.14886241171
2012-04,62726.48283223019
2012-05,59918.60383748505
2012-06,62507.91616393405
2012-07,63123.28963278416
2012-08,63760.26391106599
2012-09,64397.88258367415
2012-10,64345.170965241785
2012-11,65586.12296283523
2012-12,66477.32524544922
2013-01,71125.84665626143
2013-02,73942.53462257114
2013-03,75678.59629722692
2013-04,76183.17594848604
2013-05,77270.4526367585
2013-06,74929.14988349832
2013-07,78858.02771530456
2013-08,75747.54519795757
2013-09,76459.14139613505
2013-10,80089.1366100678
2013-11,79764.88752062849
2013-12,80200.47395030808
2014-01,77413.15116249824
2014-02,79919.734475722
2014-03,80653.158259369
2014-04,80589.71060246581
2014-05,82836.18891592864
2014-06,82916.46404011629
2014-07,82736.62216464951
2014-08,86094.07625721894
2014-09,85365.42047527833
2014-10,87163.44263387407
2014-11,90203.22091870953
2014-12,89116.7719843048
2015-01,90868.73798174414
2015-02,93529.77117627859
2015-03,96189.3769805103
2015-04,94922.72660726622
2015-05,95963.8038923434
2015-06,90940.7006005337
2015-07,92660.38999756146
2015-08,87246.34817899654
2015-09,85484.11697621114
2015-10,91195.22067516501
2015-11,92470.84794258735
2015-12,91923.01435191218
2016-01,89678.14769286657
2016-02,91911.19082101564
2016-03,95164.8725117974
2016-04,95096.02231945602
2016-05,95126.39920673687
2016-06,103109.04540780144
2016-07,109752.89324738414
2016-08,110516.53068105197
2016-09,112649.62632446211
2016-10,118117.46133511578
2016-11,116022.4575767369
2016-12,120148.6312643474
2017-01,121691.32372790934
2017-02,125845.22215625296
2017-03,126715.24425944845
2017-04,124343.59166291059
2017-05,128142.47710897181
2017-06,127446.2098242557
2017-07,129690.69402523413
2017-08,132859.5085072634
